id,name,formula,crystal_system,hardness_min,hardness_max,density_min,density_max,cleavage,transparency,clean_formula,industry_application,mend_atomic_mass,mend_electronegativity,mend_covalent_radius,mend_ionization_energy,mend_melting_point,mend_dipole_polarizability,rdkit_exact_mw,rdkit_valence_electrons,rdkit_heavy_atoms,avg_hardness,avg_density,element_O_count,element_H_count,element_Si_count,element_Ca_count,element_Al_count,element_Na_count,element_S_count,element_Fe_count,element_P_count,element_Mg_count,element_Mn_count,element_As_count,element_Cu_count,element_C_count,element_K_count,total_unique_elements,total_atom_count,formula_weighted_mass,formula_weighted_en,parsed_elements,element_list,cluster_kmeans,cluster_hierarchical,pca_1,pca_2,tsne_1,tsne_2
31,Aegirine,NaFe<sup>3+</sup>Si<sub>2</sub>O<sub>6</sub>,Monoclinic,6.0,6.0,3.5,3.6,Good on {110},"Transparent,Opaque",NaFeSi2O6,Construction,23.099876928,2.72,88.1,11.105323506,588.2554,33.11,230.84804756,53.0,10.0,6.0,3.55,6.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,10.0,23.102,2.72,"{'Na': 1.0, 'Fe': 1.0, 'Si': 2.0, 'O': 6.0}","Fe,Na,O,Si",2,0,-0.5150058701303912,-0.31940638648612485,-21.488596,-24.906307
36,Aerugite,Ni<sub>8.5</sub>(AsO<sub>4</sub>)<sub>2</sub>As<sup>5+</sup>O<sub>8</sub>,Trigonal,4.0,4.0,5.85,5.85,Unknown,Transparent,Ni8.5(AsO4)2AsO8,Energy,35.62337036363636,2.8296363636363635,83.85454545454546,11.352490654545454,684.7085454545455,21.50181818181818,944.1661666200004,191.0,27.0,4.0,5.85,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3,22.5,37.36466666666667,2.75,"{'Ni': 8.5, 'As': 2.0, 'O': 12.0}","As,Ni,O",2,0,-0.8624632414174211,0.10387875861816176,-14.250183,30.167269
37,Aeschynite-(Ce),Ce(TiNb)O<sub>6</sub>,Orthorhombic,5.0,6.0,5.19,5.19,"on {100}, interrupted",Translucent,Ce(TiNb)O6,Construction,41.87593,2.7666666666666666,91.55555555555556,11.203766666666668,676.8455555555556,46.86666666666667,376.72925081999983,49.0,9.0,5.5,5.19,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9.0,41.87777777777777,2.766666666666667,"{'Ce': 1.0, 'Ti': 1.0, 'Nb': 1.0, 'O': 6.0}","Ce,Nb,O,Ti",2,0,-1.5365871490974643,0.1091958837877041,-37.099552,-22.438969
38,Aeschynite-(Nd),Nd(TiNb)O<sub>6</sub>,Orthorhombic,5.0,6.0,4.6,5.04,Unknown,"Transparent,Translucent",Nd(TiNb)O6,Electronics,42.33437444444444,2.768888888888889,92.77777777777776,11.202255555555556,700.9566666666667,47.2,378.73153541999983,49.0,9.0,5.5,4.82,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9.0,42.33555555555555,2.768888888888889,"{'Nd': 1.0, 'Ti': 1.0, 'Nb': 1.0, 'O': 6.0}","Nb,Nd,O,Ti",2,0,-1.5995713300504968,0.13348386662561695,-38.132973,-4.289293
39,Aeschynite-(Y),Y(TiNb)O<sub>6</sub>,Orthorhombic,5.0,6.0,4.82,4.93,"on {100}, {010} and {001}","Transparent,Translucent",Y(TiNb)O6,Electronics,36.18591222222223,2.7777777777777777,91.55555555555556,11.279173333333334,757.178888888889,42.08888888888889,325.7296604199999,48.0,9.0,5.5,4.875,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,9.0,36.187777777777775,2.7777777777777777,"{'Y': 1.0, 'Ti': 1.0, 'Nb': 1.0, 'O': 6.0}","Nb,O,Ti,Y",2,0,-1.349625117664549,0.05005981910856522,-38.131756,-4.304077
41,Afghanite,"(Na,K)<sub>22</sub>Ca<sub>10</sub>(Si<sub>24</sub>Al<sub>24</sub>O<sub>96</sub>)(SO<sub>4</sub>)<sub>6</sub>Cl<sub>6</sub>",Trigonal,5.5,6.0,2.55,2.55,<mi>{10_10}</mi>,Translucent,Na22Ca10(Si24Al24O96)(SO4)6Cl6,Chemical,21.47684834037736,2.650660377358491,92.9245283018868,10.790672084056606,435.729708737864,39.19716981132075,4545.439294280015,1008.0,212.0,5.75,2.55,100.0,0.0,24.0,10.0,24.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,187.0,21.78090909090909,2.5681283422459895,"{'Na': 22.0, 'Ca': 10.0, 'Si': 24.0, 'Al': 24.0, 'O': 100.0, 'S': 1.0, 'Cl': 6.0}","Al,Ca,Cl,Na,O,S,Si",2,0,-0.23540812368207847,-0.1686578969650076,-8.273458,-49.38537
42,Afwillite,Ca<sub>3</sub>[SiO<sub>4</sub>][SiO<sub>2</sub>(OH)<sub>2</sub>]&middot;2H<sub>2</sub>O,Monoclinic,3.0,4.0,2.63,2.63,"Perfect on <mi>{10_1}</mi>, good on {100}",Transparent,Ca3[SiO4][SiO2(OH)2]2H2O,Construction,16.74096,2.6648,74.88,12.05679316032848,367.9008000000001,27.6097064,417.799392782,102.0,19.0,3.5,2.63,8.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,16.0,19.21525,2.5575,"{'Ca': 3.0, 'Si': 2.0, 'O': 8.0, 'H': 3.0}","Ca,H,O,Si",2,0,0.5751609140869776,-0.6258053481762502,18.191069,-17.612312
44,Agardite-(Y),YCu<sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>&middot;3H<sub>2</sub>O,Hexagonal,3.0,4.0,3.61,3.72,Unknown,"Transparent,Translucent",YCu6(AsO4)3(OH)63H2O,Electronics,13.08867963576159,2.805298013245033,53.41721854304636,13.250408072719404,120.88033112582782,8.124252649006623,1972.3703609999975,605.0,86.0,3.5,3.665,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,5,17.0,37.89141176470588,2.472941176470588,"{'Y': 1.0, 'Cu': 6.0, 'As': 1.0, 'O': 6.0, 'H': 3.0}","As,Cu,H,O,Y",2,0,1.7351196061959377,-0.744021431165768,24.665361,36.919304
45,Agalmatolite,"K, Al, Si, O, H",Unknown,2.0,3.0,2.4,2.9,Unknown,Unknown,"K,Al,Si,O,H",Other,,,,,,,,,,2.5,2.65,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5.0,22.2356,1.994,"{'K': 1.0, 'Al': 1.0, 'Si': 1.0, 'O': 1.0, 'H': 1.0}","Al,H,K,O,Si",2,0,0.1373755064225214,-0.49518013433752556,-10.779061,17.909546
48,Agardite-(Ce),CeCu<sub>6</sub>(AsO<sub>4</sub>)<sub>3</sub>(OH)<sub>6</sub>&middot;3H<sub>2</sub>O,Hexagonal,3.0,4.0,3.7,3.7,Unknown,"Transparent,Translucent",CeCu6(AsO4)3(OH)63H2O,Electronics,13.42781976821192,2.804635761589404,53.41721854304636,13.245913635633311,116.09225165562914,8.409020860927152,2023.3699513999975,606.0,86.0,3.5,3.7,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,5,17.0,40.903764705882345,2.4670588235294115,"{'Ce': 1.0, 'Cu': 6.0, 'As': 1.0, 'O': 6.0, 'H': 3.0}","As,Ce,Cu,H,O",2,0,1.681845838626268,-0.7203162380073316,24.609606,36.950485
